@relation cepstral_vec_all.txt-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute ' sex' {' female',' male'}
@attribute ' dim1' numeric
@attribute ' dim2' numeric
@attribute ' dim3' numeric
@attribute ' dim4' numeric
@attribute ' dim5' numeric
@attribute ' dim6' numeric
@attribute ' dim7' numeric
@attribute ' dim8' numeric
@attribute ' dim9' numeric
@attribute ' dim10' numeric
@attribute ' dim11' numeric
@attribute ' dim12' numeric
@attribute ' dim13' numeric

@data
' female',107.621344,-8.397441,-7.619019,-11.030887,5.22012,-10.125915,-1.238333,-3.934802,-16.30863,-5.303019,-12.188352,1.045801,-11.435282
' female',104.31091,-7.040435,-10.669933,-13.225469,10.945794,-10.624622,0.957325,3.270001,-7.911273,-13.397941,-20.969442,3.201376,-4.739327
' female',108.763373,-4.425462,-7.917995,-15.774852,7.530035,-9.97346,-2.489702,4.725499,-3.132076,-6.069965,-17.953624,1.871947,-6.364101
' female',106.918692,-5.814686,-8.127414,-12.522897,8.218196,-14.206112,-3.949567,5.382595,-4.218688,-4.071069,-21.084645,1.715128,-1.566872
' female',109.483773,-2.570895,-8.032035,-14.46604,5.49159,-12.282693,-2.772329,7.226366,1.562448,-5.000223,-20.208302,2.05098,0.565292
' female',103.761859,-10.049932,14.832088,1.863754,-11.3101,-5.603138,-16.374919,-1.714322,-3.674699,-7.210462,-2.15773,-11.499732,-7.073385
' female',102.048155,-11.587111,14.064956,3.395671,-11.401299,-2.513414,-17.059658,-4.439372,-2.260125,-10.218348,-0.515024,-16.712682,-10.420806
' female',102.761446,-8.260043,14.809698,-0.717346,-9.640407,-3.369528,-17.297015,-2.161161,-9.465767,-8.757095,-1.209327,-10.118166,-4.224824
' female',99.557315,-5.345616,17.422919,3.22088,-7.753083,-3.329718,-21.268943,-4.482392,-5.310171,-7.692605,0.028206,-8.228438,-3.341267
' female',100.008646,-12.339611,12.58095,-0.211062,-11.545915,0.086115,-15.745174,-5.621458,-8.849675,-17.107729,-4.820614,-16.552602,-8.433682
' female',106.441295,-9.634783,8.064112,-1.31511,-17.803314,-3.901077,-5.976305,-6.685318,-2.338445,-8.068719,-4.654456,-8.90411,-8.497351
' female',107.398009,-5.988031,6.728877,0.473784,-19.545181,-8.963049,-2.895929,-2.353394,4.737372,-1.358854,-3.9409,-7.147029,-6.591698
' female',105.060847,-11.590005,8.07098,-2.481494,-18.370169,-3.397076,-5.230396,-6.779586,-4.499357,-9.757892,-5.011053,-13.096303,-14.835372
' female',106.245882,-8.739924,8.584635,2.077095,-18.932131,-7.670286,-8.749224,-6.313703,-1.40843,-4.84976,-2.903335,-3.728501,-3.007559
' female',111.036194,-9.89295,6.445766,2.659524,-15.507343,-5.396679,-3.699993,-0.71153,-0.466146,-6.600382,-10.89413,-13.038258,-9.328727
' female',106.683358,-2.457111,-1.934998,-16.183888,2.575402,-10.904433,-4.702145,-2.556977,-4.848583,-0.829421,-17.077045,-1.390531,-3.818864
' female',102.738978,2.600079,-0.456504,-17.039615,-0.802793,-10.361312,-8.90326,-0.449305,4.247694,5.329368,-9.656985,-0.560815,-12.057418
' female',106.080436,-3.420154,-1.398132,-15.20176,0.990418,-11.893227,-2.89965,-1.568311,-6.380489,-6.337395,-16.980274,-1.151922,-6.867159
' female',106.435874,-1.034634,-2.696697,-19.316432,4.104083,-7.674733,-9.108577,-1.671865,0.118369,5.191794,-16.046476,-7.96412,-8.582749
' female',104.069837,-3.21005,-3.676162,-16.090722,2.307445,-7.094166,-5.352333,-7.665207,-6.705924,0.651472,-15.368057,-5.552295,-10.907455
' female',89.330846,-8.880267,-9.62647,-6.477435,-8.778047,-3.759895,19.532009,25.433899,-25.179101,-17.738962,2.901547,0.899533,-3.427141
' female',88.53107,-6.175822,-8.812227,-13.596711,10.350992,-12.948812,-14.109453,10.645157,22.584103,21.482554,-23.696884,-8.559311,7.537402
' female',88.463437,-7.152417,-10.451681,-5.973615,-0.532629,-14.711942,5.515321,30.414988,8.088922,-21.806774,-15.367964,10.685275,-19.178168
' female',88.135482,-5.919691,-11.792338,-6.761079,1.449792,-15.378606,-4.024752,27.879,19.798167,-8.947463,-25.373255,8.775072,-10.819302
' female',90.065136,-3.539638,-5.351289,-17.754286,5.355936,-12.398322,-17.444616,-8.554275,8.361093,37.159785,21.016937,-16.139038,-14.521309
' female',90.019376,-11.754696,-7.597541,-3.89261,-5.142828,-6.421671,18.692825,22.844833,-21.662635,-18.056955,6.251959,-1.743058,-4.063367
' female',88.711573,-8.921989,-10.581074,-5.481389,-1.126101,-13.911875,3.901939,29.961587,9.53308,-21.005955,-15.880949,10.738847,-18.61277
' female',92.131477,-9.946336,-5.578611,-14.131279,10.8566,-12.487347,-13.509837,5.676728,23.236265,23.910768,-19.861013,-13.137849,8.080296
' female',89.166894,-7.362425,-10.408782,-5.905304,1.933963,-14.576867,-3.498779,26.821225,18.999382,-11.008409,-23.751984,9.698704,-10.0442
' female',95.222389,-9.746629,-4.065407,-18.082026,10.541752,-8.125897,-12.757793,-10.460096,3.964944,32.469757,18.101149,-6.665751,-22.77611
' female',93.323933,-14.409851,-3.248297,-2.311952,-16.589582,-4.388618,-3.598578,23.427585,24.461345,-5.240214,-30.180333,5.38023,-2.431245
' female',91.89245,-12.613128,-2.315795,-4.729809,-18.224795,-2.345583,2.385304,30.717826,11.303963,-20.264564,-23.693734,14.979935,-19.687406
' female',94.386903,-11.737564,-0.767702,-7.60404,-14.351424,-9.362167,-13.495258,10.242408,26.093611,28.407531,-17.865553,-21.90685,7.687327
' female',92.451588,-11.189751,3.417167,-6.487533,-16.290866,-7.112627,-14.453716,-10.440537,11.721351,31.213682,26.26257,-10.851677,-22.766448
' female',90.84955,-10.223367,-6.45606,-7.471834,-15.398625,4.268958,15.585353,26.381598,-22.177575,-21.759693,4.775484,0.67473,-4.789456
' female',91.984686,-10.592255,-3.852947,-5.975121,-17.158347,-3.600174,3.115465,30.684985,12.12768,-20.578586,-23.119165,14.618705,-20.085825
' female',99.153255,-14.591088,-1.064073,-10.268768,-4.448778,-9.942335,-11.771812,-10.719109,3.180319,38.486594,24.972114,-14.651217,-18.604964
' female',91.729221,-13.60801,-6.99254,-5.485431,-11.532744,-0.321424,15.729388,26.670066,-19.364341,-19.993455,2.350391,0.688151,-8.499924
' female',93.097358,-11.368674,-5.400807,-2.862307,-16.56099,-8.673363,1.358542,21.117039,26.051289,-5.329853,-34.181593,9.094241,-6.794254
' female',95.030581,-14.14917,-5.217581,-4.049408,-7.255032,-14.266621,-6.016564,6.354613,21.348653,32.843768,-20.936128,-21.448827,12.88236
' female',89.43292,-7.415644,-9.514121,-8.426039,1.417736,-15.30519,-2.43576,27.430182,19.88712,-11.019679,-24.463976,7.934862,-9.664694
' female',92.493635,-6.354114,-5.373819,-18.289964,6.861463,-12.976333,-14.607086,-8.871982,3.621903,37.935633,23.729746,-15.347371,-16.365458
' female',88.442144,-6.559676,-11.359263,-4.878636,-1.978199,-12.706036,4.30567,32.082215,6.705521,-21.605816,-16.318347,11.138734,-18.278964
' female',89.171928,-6.985911,-9.252182,-13.244014,7.838957,-15.397061,-11.739153,11.924477,23.765086,22.774201,-25.441164,-8.673088,6.923409
' female',88.482551,-10.408802,-9.549489,-2.538785,-5.716414,-6.174505,17.780161,24.827545,-24.150423,-14.960444,2.734747,0.861274,-6.619882
' female',89.711528,-2.394662,-0.27807,-8.640933,-1.068953,-12.444661,-20.852571,-5.231639,-12.815687,-8.427812,17.173907,35.045981,27.353492
' female',99.520923,-6.662441,2.657634,-8.053288,1.548174,-12.899532,-15.167312,-3.200397,-10.242469,-12.601007,-12.686624,-19.736495,-2.9254
' female',90.170216,-3.139205,0.81126,-7.914408,2.102949,-15.41632,-15.212656,-7.674957,-9.912768,-13.557388,-12.855525,14.925022,45.370885
' female',94.209742,-5.554093,4.381516,-8.407689,-2.399456,-13.926741,-14.145185,-5.503545,-11.238204,-17.120766,-13.503575,-4.417184,30.225582
' female',97.162436,-2.174519,0.697912,-8.728067,2.346687,-8.872494,-18.856342,-7.619728,-1.25021,-10.451837,-13.051263,-18.867954,-5.989125
' female',98.360332,-10.027132,-5.988602,-13.163512,4.955975,-8.477951,-14.789569,-0.281033,-16.329242,-9.831801,9.613325,48.349238,17.333369
